ID;SPOORTAK_IDENTIFICATIE;CG_TYPE;CG_NAAM;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
127838574;950_209R_11.8;BASIS;Europoort;0,000;0,804;2017-12-09
127838575;950_209R_11.8;BAAN;Europoort;0,000;0,804;2017-12-09
127838577;950_209R_11.8;BVL;Europoort;0,000;0,804;2017-12-09
127838581;950_203R_11.7;BASIS;Europoort;0,000;0,017;2017-12-09
127838582;950_203R_11.7;BAAN;Europoort;0,000;0,017;2017-12-09
127838584;950_203R_11.7;BVL;Europoort;0,000;0,017;2017-12-09
127838684;081_961L_74.4;BASIS;Amsterdam;0,000;0,130;2017-12-09
127838685;081_961L_74.4;BAAN;Amsterdam;0,000;0,130;2017-12-09
127838687;081_961L_74.4;BVL;Amsterdam;0,000;0,130;2017-12-09
127838691;537_251AL_34.6;BASIS;Rijn en Gouwe;0,000;2,018;2017-12-09
127838695;043_353AL_33.2;BVL;Geldermalsen;0,000;0,151;2017-12-09
127838699;043_353AL_33.2;BAAN;Geldermalsen;0,000;0,151;2017-12-09
127838700;043_353AL_33.2;BASIS;Geldermalsen;0,000;0,151;2017-12-09
127838701;508_2009L_90.3;BAAN;Achterhoek;0,000;0,099;2017-12-09
127838703;508_2009L_90.3;BVL;Achterhoek;0,000;0,099;2017-12-09
127838113;116_2397AL_37.5;BASIS;Europoort;2,900;2,955;2017-12-09
127838114;517_919L_69.0;BVL;Venlo;0,000;0,152;2017-12-09
127838116;517_919L_69.0;BAAN;Venlo;0,000;0,152;2017-12-09
127838117;517_919L_69.0;BASIS;Venlo;0,000;0,152;2017-12-09
127838316;490_151R_6.2;BVL;Amsterdam;0,000;0,095;2017-12-09
127838320;586_289AL_81.2;BASIS;Amsterdam;0,000;0,081;2017-12-09
127838321;586_289AL_81.2;BAAN;Amsterdam;0,000;0,081;2017-12-09
127838323;586_289AL_81.2;BVL;Amsterdam;0,000;0,081;2017-12-09
127838328;587_481R_7.0;BVL;Weesp;0,000;0,865;2017-12-09
127838330;587_481R_7.0;BAAN;Weesp;0,000;0,865;2017-12-09
127838588;613_907AR_76.0;BASIS;Gelderse Vallei;0,000;0,283;2017-12-09
127838589;613_907AR_76.0;BAAN;Gelderse Vallei;0,000;0,283;2017-12-09
127838591;613_907AR_76.0;BVL;Gelderse Vallei;0,000;0,283;2017-12-09
127838595;613_906V_76.0;BASIS;Gelderse Vallei;0,000;0,019;2017-12-09
127838596;613_906V_76.0;BAAN;Gelderse Vallei;0,000;0,019;2017-12-09
127838598;531_2755V_35.6;BAAN;Utrecht;0,000;1,509;2017-12-09
127838600;531_2755V_35.6;BVL;Utrecht;0,000;1,509;2017-12-09
127838707;508_2009L_90.3;BASIS;Achterhoek;0,000;0,099;2017-12-09
127838708;508_2007R_90.2;BAAN;Achterhoek;0,000;0,089;2017-12-09
127838710;508_2007R_90.2;BVL;Achterhoek;0,000;0,089;2017-12-09
127838714;508_2007R_90.2;BASIS;Achterhoek;0,000;0,089;2017-12-09
127838715;508_2007L_90.2;BAAN;Achterhoek;0,000;0,169;2017-12-09
127838717;508_2007L_90.2;BVL;Achterhoek;0,000;0,169;2017-12-09
127838721;508_2007L_90.2;BASIS;Achterhoek;0,000;0,169;2017-12-09
127838722;508_2003V_90.1;BAAN;Achterhoek;0,000;0,044;2017-12-09
127838724;508_2003V_90.1;BVL;Achterhoek;0,000;0,044;2017-12-09
127838118;475_2V_100.9;BASIS;Europoort;0,000;1,445;2017-12-09
127838119;475_2V_100.9;BAAN;Europoort;0,000;1,445;2017-12-09
127838121;133_1013V_8.6;BVL;Haarlem;0,000;1,389;2017-12-09
127838332;587_481R_7.0;BASIS;Weesp;0,000;0,865;2017-12-09
127838341;924_2373R_37.4;BVL;Dordrecht;0,316;0,316;2017-12-09
127838344;924_2373R_37.4;BAAN;Dordrecht;0,316;0,316;2017-12-09
127838345;924_2373R_37.4;BASIS;Dordrecht;0,316;0,316;2017-12-09
127838348;924_2373R_37.4;BAAN;Dordrecht;0,203;0,316;2017-12-09
127838350;924_2373R_37.4;BASIS;Europoort;0,203;0,316;2017-12-09
127838351;924_2373R_37.4;BVL;Europoort;0,203;0,316;2017-12-09
127838355;924_2373R_37.4;BASIS;Europoort;0,000;0,203;2017-12-09
127838356;924_2373R_37.4;BAAN;Europoort;0,000;0,203;2017-12-09
127838604;531_2755V_35.6;BASIS;Utrecht;0,000;1,509;2017-12-09
127838605;100_2101AL_7.7;BVL;Woerden;0,000;0,341;2017-12-09
127838608;624_207AR_32.5;BVL;Rijn en Gouwe;0,000;0,090;2017-12-09
127838609;624_205BL_32.6;BASIS;Rijn en Gouwe;0,000;0,038;2017-12-09
127838610;624_205BL_32.6;BAAN;Rijn en Gouwe;0,000;0,038;2017-12-09
127838615;624_205BL_32.6;BVL;Rijn en Gouwe;0,000;0,038;2017-12-09
127838616;624_207AL_32.5;BASIS;Rijn en Gouwe;0,000;0,083;2017-12-09
127838617;624_207AL_32.5;BAAN;Rijn en Gouwe;0,000;0,083;2017-12-09
127837933;667_1005R_402.4;BASIS;HSL;0,231;2,442;2017-12-09
127837934;667_1005R_402.4;BAAN;HSL;0,231;2,442;2017-12-09
127838125;545_995L_23.7;BVL;Roosendaal;0,000;0,168;2017-12-09
127838128;545_995L_23.7;BAAN;Roosendaal;0,000;0,168;2017-12-09
127838129;545_995L_23.7;BASIS;Roosendaal;0,000;0,168;2017-12-09
127838130;478_AV_200.3;BASIS;Europoort;0,000;0,281;2017-12-09
127838131;478_AV_200.3;BAAN;Europoort;0,000;0,281;2017-12-09
127839492;116_1375R_33.0;BASIS;Dordrecht;0,000;0,107;2017-12-09
127844364;114_407AL_54.0;BASIS;Rotterdam;0,000;0,088;2017-12-09
127844677;046_255AR_41.4;BASIS;Den Bosch;0,210;5,915;2017-12-09
127844947;203_397R_55.1;BAAN;Overijssel;0,000;0,466;2017-12-09
127847095;924_23-24V_35.3;BVL;Dordrecht;0,000;0,034;2017-12-09
127847099;924_23-24V_35.3;BAAN;Dordrecht;0,000;0,034;2017-12-09
127847100;924_23-24V_35.3;BASIS;Dordrecht;0,000;0,034;2017-12-09
127847102;924_23-24R_35.3;BVL;Dordrecht;0,000;0,805;2017-12-09
127846263;116_1379R_33.0;BVL;Dordrecht;0,000;1,094;2017-12-09
127846267;116_1379R_33.0;BAAN;Dordrecht;0,000;1,094;2017-12-09
127846268;116_1379R_33.0;BASIS;Dordrecht;0,000;1,094;2017-12-09
127846270;924_351AqV_36.2;BVL;Dordrecht;0,000;0,032;2017-12-09
127846585;565_65L_16.6;BVL;Den Haag;0,000;0,504;2017-12-09
127846589;039_5133R_108.5;BASIS;A15trace;0,000;0,489;2017-12-09
127846590;039_5133R_108.5;BAAN;A15trace;0,000;0,489;2017-12-09
127846592;039_5133R_108.5;BVL;A15trace;0,000;0,489;2017-12-09
127846595;532_1061AL_11.8;BVL;Woerden;0,000;0,222;2017-12-09
127846596;532_1061AL_11.8;BAAN;Woerden;0,000;0,222;2017-12-09
127846807;094_1079BL_2.8;BASIS;Utrecht;0,000;2,333;2017-12-09
127846808;950_1004R_7.2;BASIS;Europoort;0,000;0,111;2017-12-09
127847106;924_23-24R_35.3;BAAN;Dordrecht;0,000;0,805;2017-12-09
127847107;924_23-24R_35.3;BASIS;Dordrecht;0,000;0,805;2017-12-09
127847109;924_3237BL_34.2;BVL;Dordrecht;0,000;0,041;2017-12-09
127847110;039_5131V_108.8;BAAN;A15trace;0,000;0,764;2017-12-09
127847112;039_5131V_108.8;BVL;A15trace;0,000;0,764;2017-12-09
127847115;950_917V_17.3;BASIS;Europoort;0,000;0,041;2017-12-09
127847116;950_917V_17.3;BAAN;Europoort;0,000;0,041;2017-12-09
127846275;166_2147R_135.2;BAAN;HSL;0,000;0,247;2017-12-09
127846277;166_2147R_135.2;BVL;HSL;0,000;0,247;2017-12-09
127846282;922_927R_18.1;BASIS;Den Haag;0,000;0,271;2017-12-09
127846283;922_927R_18.1;BAAN;Den Haag;0,000;0,271;2017-12-09
127846274;166_2147R_135.2;BASIS;HSL;0,000;0,247;2017-12-09
127846285;922_927R_18.1;BVL;Den Haag;0,000;0,271;2017-12-09
127846289;922_927L_18.1;BASIS;Den Haag;0,000;0,275;2017-12-09
127846290;922_927L_18.1;BAAN;Den Haag;0,000;0,275;2017-12-09
127846292;922_927L_18.1;BVL;Den Haag;0,000;0,275;2017-12-09
127846296;922_926R_18.1;BASIS;Den Haag;0,000;0,297;2017-12-09
127846602;107_133BV_12.0;BASIS;Den Haag;0,000;0,008;2017-12-09
127846603;107_133BV_12.0;BAAN;Den Haag;0,000;0,008;2017-12-09
127846605;107_133BV_12.0;BVL;Den Haag;0,000;0,008;2017-12-09
127846609;107_135AR_12.1;BASIS;Den Haag;0,000;0,060;2017-12-09
127846610;107_135AR_12.1;BAAN;Den Haag;0,000;0,060;2017-12-09
127846612;107_135AR_12.1;BVL;Den Haag;0,000;0,060;2017-12-09
127846616;107_133AR_12.0;BASIS;Den Haag;0,000;0,127;2017-12-09
127846617;107_133AR_12.0;BAAN;Den Haag;0,000;0,127;2017-12-09
127846619;107_133AR_12.0;BVL;Den Haag;0,000;0,127;2017-12-09
127846622;539_55BpV_79.2;BASIS;Rotterdam;0,000;0,033;2017-12-09
127846623;539_55BpV_79.2;BAAN;Rotterdam;0,000;0,033;2017-12-09
127846625;539_55BpV_79.2;BVL;Rotterdam;0,000;0,033;2017-12-09
127846809;924_3331L_34.3;BVL;Dordrecht;0,000;0,033;2017-12-09
127846813;924_3331L_34.3;BAAN;Dordrecht;0,000;0,033;2017-12-09
127846814;924_3331L_34.3;BASIS;Dordrecht;0,000;0,033;2017-12-09
127846816;924_3277L_34.2;BVL;Dordrecht;0,000;0,053;2017-12-09
127846820;924_3277L_34.2;BAAN;Dordrecht;0,000;0,053;2017-12-09
127846821;924_3277L_34.2;BASIS;Dordrecht;0,000;0,053;2017-12-09
127841252;508_823L_91.0;BAAN;Achterhoek;0,000;0,099;2017-12-09
127839014;817_1263BV_200.3;BAAN;Goes;0,000;0,054;2017-12-09
127839015;817_1263BV_200.3;BASIS;Goes;0,000;0,054;2017-12-09
127839017;817_975R_200.3;BVL;Goes;0,000;0,096;2017-12-09
127839021;817_975R_200.3;BAAN;Goes;0,000;0,096;2017-12-09
127839022;817_975R_200.3;BASIS;Goes;0,000;0,096;2017-12-09
127839023;100_2115AL_7.9;BVL;Woerden;0,000;0,106;2017-12-09
127839024;100_2115AL_7.9;BAAN;Woerden;0,000;0,106;2017-12-09
127839029;100_2115AL_7.9;BASIS;Woerden;0,000;0,106;2017-12-09
127839185;624_263AR_32.4;BAAN;Rijn en Gouwe;0,000;0,053;2017-12-09
127839186;109_233AR_32.3;BVL;Maarn;0,000;1,222;2017-12-09
127839188;109_233AR_32.3;BASIS;Maarn;0,000;1,222;2017-12-09
127839189;109_233AR_32.3;BAAN;Maarn;0,000;1,222;2017-12-09
127839192;036_213AL_83.8;BASIS;Gelderse Vallei;0,000;0,060;2017-12-09
127839184;624_263AR_32.4;BASIS;Rijn en Gouwe;0,000;0,053;2017-12-09
127839368;200_171V_8.4;BAAN;Groningen;0,000;4,365;2017-12-09
127839369;200_171V_8.4;BVL;Groningen;0,000;4,365;2017-12-09
127835969;008_1215L_9.5;BVL;Friesland;0,000;0,756;2017-12-09
127835963;588_411AR_2.8;BVL;Duivendrecht;0,000;0,282;2017-12-09
127836254;144_1503V_151.7;BASIS;Duivendrecht;0,000;2,888;2017-12-09
127836256;611_2305L_105.3;BVL;Achterhoek;0,000;0,799;2017-12-09
127836260;611_2305L_105.3;BASIS;Achterhoek;0,000;0,799;2017-12-09
127836262;611_2335V_106.3;BASIS;A15trace;0,755;1,213;2017-12-09
127836263;611_2335V_106.3;BAAN;A15trace;0,755;1,213;2017-12-09
127836265;611_2335V_106.3;BVL;A15trace;0,755;1,213;2017-12-09
127836073;549_283R_70.9;BVL;Drenthe;0,000;2,531;2017-12-09
127836074;666_405R_27.2;BVL;A15trace;0,981;1,900;2017-12-09
127836079;666_405R_27.2;BASIS;A15trace;0,981;0,981;2017-12-09
127836080;666_405R_27.2;BAAN;A15trace;0,981;0,981;2017-12-09
127835840;626_913L_32.7;BASIS;Heerhugowaard;0,000;0,242;2017-12-09
127835841;626_913L_32.7;BAAN;Heerhugowaard;0,000;0,242;2017-12-09
127835843;852_2L_160.7;BVL;Goes;0,000;3,055;2017-12-09
127835974;654_397R_48.8;BAAN;Drenthe;0,000;0,886;2017-12-09
127835976;654_397R_48.8;BVL;Drenthe;0,000;0,886;2017-12-09
127835981;008_1215R_9.5;BASIS;Friesland;0,000;0,756;2017-12-09
127835982;008_1215R_9.5;BAAN;Friesland;0,000;0,756;2017-12-09
127835973;654_397R_48.8;BASIS;Drenthe;0,000;0,886;2017-12-09
127836271;611_2335V_106.3;BAAN;A15trace;0,552;0,755;2017-12-09
127836268;611_2335V_106.3;BVL;Achterhoek;0,552;0,755;2017-12-09
127836270;611_2335V_106.3;BASIS;A15trace;0,552;0,755;2017-12-09
127836275;611_2335V_106.3;BAAN;Achterhoek;0,000;0,552;2017-12-09
127836277;664_893BV_42.8;BAAN;Dordrecht;0,000;0,043;2017-12-09
127836278;664_893BV_42.8;BASIS;Dordrecht;0,000;0,043;2017-12-09
127836280;664_893AR_42.6;BVL;Dordrecht;0,000;0,143;2017-12-09
127836284;664_893AR_42.6;BAAN;Dordrecht;0,000;0,143;2017-12-09
127836285;664_893AR_42.6;BASIS;Dordrecht;0,000;0,143;2017-12-09
127836287;664_893AL_42.6;BVL;Dordrecht;0,000;0,143;2017-12-09
127836291;664_893AL_42.6;BAAN;Dordrecht;0,000;0,143;2017-12-09
127836292;664_893AL_42.6;BASIS;Dordrecht;0,000;0,143;2017-12-09
127836294;664_895AL_42.6;BVL;Dordrecht;0,000;0,143;2017-12-09
127836093;666_405R_27.2;BASIS;A15trace;0,959;0,981;2017-12-09
127836094;666_405R_27.2;BAAN;A15trace;0,959;0,981;2017-12-09
127836096;666_405R_27.2;BVL;A15trace;0,959;0,981;2017-12-09
127836097;504_17BV_17.2;BVL;Maastricht;0,000;0,234;2017-12-09
127836101;504_25R_17.4;BASIS;Maastricht;0,000;0,766;2017-12-09
127836102;504_25R_17.4;BAAN;Maastricht;0,000;0,766;2017-12-09
127836082;666_405R_27.2;BVL;A15trace;0,981;0,981;2017-12-09
127835844;144_1505R_151.8;BAAN;Duivendrecht;0,000;1,433;2017-12-09
127835690;950_811L_41.7;BVL;Europoort;0,000;0,569;2017-12-09
127835694;035_91AV_45.8;BAAN;Driebergen;0,000;6,946;2017-12-09
127835696;035_91AV_45.8;BVL;Driebergen;0,000;6,946;2017-12-09
127835484;514_109BV_17.0;BVL;Maas en Waal;0,000;0,154;2017-12-09
127835483;514_109BV_17.0;BASIS;Maas en Waal;0,000;0,154;2017-12-09
127835487;501_959V_81.4;BAAN;Groningen;0,000;0,076;2017-12-09
127835488;501_959V_81.4;BVL;Groningen;0,000;0,076;2017-12-09
127835491;501_959V_81.4;BASIS;Groningen;0,000;0,076;2017-12-09
127835492;514_121AL_16.9;BAAN;Maas en Waal;0,000;0,278;2017-12-09
127835497;514_121AL_16.9;BASIS;Maas en Waal;0,000;0,278;2017-12-09
127835498;514_121AL_16.9;BVL;Maas en Waal;0,000;0,278;2017-12-09
127835499;620_901R_42.0;BASIS;Alkmaar;0,000;0,096;2017-12-09
127835573;133_1013R_8.6;BVL;Haarlem;0,000;0,474;2017-12-09
127835575;531_2663L_34.7;BAAN;Utrecht;0,000;0,263;2017-12-09
127835577;531_2663L_34.7;BVL;Utrecht;0,000;0,263;2017-12-09
127835581;654_429V_50.5;BVL;Drenthe;0,000;16,735;2017-12-09
127835585;047_41L_42.5;BVL;Den Bosch;0,000;1,951;2017-12-09
127835617;047_31qV_41.9;BVL;Den Bosch;0,000;0,034;2017-12-09
127835619;047_31qV_41.9;BASIS;Den Bosch;0,000;0,034;2017-12-09
127835620;047_31qV_41.9;BAAN;Den Bosch;0,000;0,034;2017-12-09
127835700;516_913L_2.2;BAAN;Venlo;0,000;0,180;2017-12-09
127835701;516_913L_2.2;BASIS;Venlo;0,000;0,180;2017-12-09
127835503;117_1845L_6.4;BVL;Driebergen;0,000;3,026;2017-12-09
127835507;117_1845L_6.4;BASIS;Driebergen;0,000;3,026;2017-12-09
127835510;545_961R_22.6;BVL;Roosendaal;0,000;0,080;2017-12-09
127835587;047_41L_42.5;BASIS;Den Bosch;0,000;1,951;2017-12-09
127835588;047_41L_42.5;BAAN;Den Bosch;0,000;1,951;2017-12-09
127835589;801_925V_12.3;BASIS;Roosendaal;0,000;2,459;2017-12-09
127835624;544_1063AR_23.4;BASIS;Breda;0,000;0,132;2017-12-09
127839494;116_1377AL_33.0;BVL;Dordrecht;0,000;0,107;2017-12-09
127839498;116_1377AL_33.0;BAAN;Dordrecht;0,000;0,107;2017-12-09
127839499;116_1377AL_33.0;BASIS;Dordrecht;0,000;0,107;2017-12-09
127839503;118_33R_80.4;BAAN;Dordrecht;0,000;0,902;2017-12-09
127839504;118_33R_80.4;BASIS;Dordrecht;0,000;0,902;2017-12-09
127839506;118_1093R_90.6;BVL;Dordrecht;0,000;2,207;2017-12-09
127839510;118_1093R_90.6;BAAN;Dordrecht;0,000;2,207;2017-12-09
127839511;118_1093R_90.6;BASIS;Dordrecht;0,000;2,207;2017-12-09
127839491;116_1375R_33.0;BAAN;Dordrecht;0,000;0,107;2017-12-09
127838869;476_80R_103.0;BAAN;Europoort;0,000;0,741;2017-12-09
127838871;476_80R_103.0;BVL;Europoort;0,000;0,741;2017-12-09
127839050;950_197R_7.6;BAAN;Europoort;0,000;0,472;2017-12-09
127839052;950_197R_7.6;BVL;Europoort;0,000;0,472;2017-12-09
127839057;950_431AL_6.7;BASIS;Europoort;0,000;0,197;2017-12-09
127839058;950_431AL_6.7;BAAN;Europoort;0,000;0,197;2017-12-09
127839249;128_65AL_13.3;BVL;Weesp;0,000;3,094;2017-12-09
127838432;121_2359R_233.6;BASIS;HSL;8,819;8,830;2017-12-09
127838843;107_273AR_1.8;BAAN;Rijn en Gouwe;0,000;0,103;2017-12-09
127838841;107_271BV_1.8;BVL;Rijn en Gouwe;0,000;0,018;2017-12-09
127838842;107_273AR_1.8;BASIS;Rijn en Gouwe;0,000;0,103;2017-12-09
127838848;107_273AR_1.8;BVL;Rijn en Gouwe;0,000;0,103;2017-12-09
127838849;107_271AR_1.7;BASIS;Rijn en Gouwe;0,000;0,223;2017-12-09
127838850;107_271AR_1.7;BAAN;Rijn en Gouwe;0,000;0,223;2017-12-09
127838854;536_241AR_60.7;BASIS;Den Haag;0,000;0,726;2017-12-09
127838855;536_241AR_60.7;BAAN;Den Haag;0,000;0,726;2017-12-09
127838000;116_2397AL_37.5;BVL;Europoort;0,000;2,900;2017-12-09
127838187;531_525V_36.0;BAAN;Utrecht;0,000;0,038;2017-12-09
127838189;531_525V_36.0;BVL;Utrecht;0,000;0,038;2017-12-09
127838194;545_908L_21.8;BVL;Roosendaal;0,000;0,316;2017-12-09
127838197;545_908L_21.8;BAAN;Roosendaal;0,000;0,316;2017-12-09
127838198;545_908L_21.8;BASIS;Roosendaal;0,000;0,316;2017-12-09
127838201;545_909L_21.8;BVL;Roosendaal;0,000;0,255;2017-12-09
127838204;545_909L_21.8;BAAN;Roosendaal;0,000;0,255;2017-12-09
127838205;545_909L_21.8;BASIS;Roosendaal;0,000;0,255;2017-12-09
127838438;817_1259BqV_200.3;BAAN;Goes;0,000;0,033;2017-12-09
127838439;817_1259BqV_200.3;BASIS;Goes;0,000;0,033;2017-12-09
127838782;161_2541V_21.3;BASIS;Weesp;0,000;8,696;2017-12-09
127838785;561_213L_59.8;BASIS;Den Haag;0,000;0,865;2017-12-09
127838786;561_213L_59.8;BAAN;Den Haag;0,000;0,865;2017-12-09
127838005;076_1675R_12.3;BASIS;Alkmaar;0,000;1,045;2017-12-09
127838211;545_982L_23.0;BAAN;Roosendaal;0,000;0,054;2017-12-09
127838212;545_982L_23.0;BASIS;Roosendaal;0,000;0,054;2017-12-09
127838213;586_289BV_81.2;BASIS;Amsterdam;0,000;0,020;2017-12-09
127838208;545_982L_23.0;BVL;Roosendaal;0,000;0,054;2017-12-09
127838214;589_3203L_4.9;BVL;Duivendrecht;0,000;1,843;2017-12-09
127838219;589_3203L_4.9;BASIS;Duivendrecht;0,000;1,843;2017-12-09
127838441;817_1265R_200.3;BVL;Goes;0,000;0,136;2017-12-09
127838445;817_1265R_200.3;BAAN;Goes;0,000;0,136;2017-12-09
127838446;817_1265R_200.3;BASIS;Goes;0,000;0,136;2017-12-09
127838448;817_1259BpV_200.3;BVL;Goes;0,000;0,033;2017-12-09
127838452;817_1259BpV_200.3;BAAN;Goes;0,000;0,033;2017-12-09
127838453;817_1259BpV_200.3;BASIS;Goes;0,000;0,033;2017-12-09
127838455;817_975V_200.3;BVL;Goes;0,000;0,040;2017-12-09
127838459;817_975V_200.3;BAAN;Goes;0,000;0,040;2017-12-09
127838460;817_975V_200.3;BASIS;Goes;0,000;0,040;2017-12-09
127838462;817_1261R_200.2;BVL;Goes;0,000;0,052;2017-12-09
127838466;817_1261R_200.2;BAAN;Goes;0,000;0,052;2017-12-09
127838809;950_195V_7.6;BVL;Europoort;0,000;0,046;2017-12-09
127838816;008_931R_22.4;BASIS;Friesland;0,000;0,035;2017-12-09
127838817;008_931R_22.4;BAAN;Friesland;0,000;0,035;2017-12-09
127838818;008_931R_22.4;BVL;Friesland;0,000;0,035;2017-12-09
127838822;623_363V_17.0;BASIS;Rijn en Gouwe;0,000;5,142;2017-12-09
127838013;531_2773V_35.7;BASIS;Utrecht;0,000;0,053;2017-12-09
127838014;531_2665L_34.7;BAAN;Utrecht;0,000;0,698;2017-12-09
127838016;531_2665L_34.7;BVL;Utrecht;0,000;0,698;2017-12-09
127838020;531_2665L_34.7;BASIS;Utrecht;0,000;0,698;2017-12-09
127838009;076_1675R_12.3;BVL;Alkmaar;0,000;1,045;2017-12-09
127838011;076_1675R_12.3;BAAN;Alkmaar;0,000;1,045;2017-12-09
127838021;017_61BV_71.0;BASIS;Gelderland;0,000;13,487;2017-12-09
127838022;017_61BV_71.0;BAAN;Gelderland;0,000;13,487;2017-12-09
127838024;017_61BV_71.0;BVL;Gelderland;0,000;13,487;2017-12-09
127839371;528_43AR_28.7;BVL;Amersfoort;0,000;0,116;2017-12-09
127839374;588_353AR_1.2;BASIS;Amsterdam;0,000;0,081;2017-12-09
127839375;588_353AR_1.2;BAAN;Amsterdam;0,000;0,081;2017-12-09
127839650;560_69BV_24.7;BASIS;Den Haag;0,000;0,675;2017-12-09
127839651;560_69BV_24.7;BAAN;Den Haag;0,000;0,675;2017-12-09
127839032;100_2021BV_3.0;BASIS;Woerden;0,000;4,665;2017-12-09
127839033;950_445L_7.1;BASIS;Europoort;0,000;0,224;2017-12-09
127839034;950_445L_7.1;BAAN;Europoort;0,000;0,224;2017-12-09
127839193;036_213AL_83.8;BAAN;Gelderse Vallei;0,000;0,060;2017-12-09
127839195;036_213AL_83.8;BVL;Gelderse Vallei;0,000;0,060;2017-12-09
127839198;563_187AL_57.4;BASIS;Den Haag;0,808;2,396;2017-12-09
127839199;563_187AL_57.4;BAAN;Den Haag;0,808;2,396;2017-12-09
127839201;563_187AL_57.4;BVL;Den Haag;0,808;2,396;2017-12-09
127839377;588_353AR_1.2;BVL;Amsterdam;0,000;0,081;2017-12-09
127839381;588_353BL_1.3;BASIS;Amsterdam;0,000;0,060;2017-12-09
127839382;588_353BL_1.3;BAAN;Amsterdam;0,000;0,060;2017-12-09
127839384;588_353BL_1.3;BVL;Amsterdam;0,000;0,060;2017-12-09
127839388;588_355AR_1.3;BASIS;Amsterdam;0,000;0,060;2017-12-09
127839389;588_355AR_1.3;BAAN;Amsterdam;0,000;0,060;2017-12-09
127839391;588_355AR_1.3;BVL;Amsterdam;0,000;0,060;2017-12-09
127839395;588_355BL_1.3;BASIS;Amsterdam;0,000;0,126;2017-12-09
127839396;588_355BL_1.3;BAAN;Amsterdam;0,000;0,126;2017-12-09
127839398;588_355BL_1.3;BVL;Amsterdam;0,000;0,126;2017-12-09
127839402;118_33R_80.4;BVL;Dordrecht;0,000;0,902;2017-12-09
127839531;528_39BpV_28.8;BASIS;Amersfoort;0,000;0,034;2017-12-09
127839532;528_39BpV_28.8;BAAN;Amersfoort;0,000;0,034;2017-12-09
127839535;528_39BpV_28.8;BVL;Amersfoort;0,000;0,034;2017-12-09
127839538;529_3643R_22.9;BVL;Woerden;2,286;4,538;2017-12-09
127839539;529_3643R_22.9;BAAN;Woerden;2,286;4,538;2017-12-09
127839542;564_1315L_23.5;BVL;Den Haag;0,000;0,628;2017-12-09
127839545;528_45AL_28.7;BASIS;Amersfoort;0,000;0,048;2017-12-09
127839546;528_45AL_28.7;BAAN;Amersfoort;0,000;0,048;2017-12-09
127839549;528_45AL_28.7;BVL;Amersfoort;0,000;0,048;2017-12-09
127839036;476_80V_103.0;BASIS;Europoort;0,000;1,254;2017-12-09
127839037;476_80V_103.0;BAAN;Europoort;0,000;1,254;2017-12-09
127839039;476_80V_103.0;BVL;Europoort;0,000;1,254;2017-12-09
127839206;546_1015L_4.5;BAAN;Utrecht;0,000;0,925;2017-12-09
127839406;528_39AR_28.7;BASIS;Amersfoort;0,000;0,048;2017-12-09
127839407;528_39AR_28.7;BAAN;Amersfoort;0,000;0,048;2017-12-09
127839410;528_39AR_28.7;BVL;Amersfoort;0,000;0,048;2017-12-09
127841372;094_1069AR_3.3;BASIS;Utrecht;0,000;0,103;2017-12-09
127840347;161_2519R_20.4;BVL;Weesp;0,000;0,552;2017-12-09
127840349;161_2519R_20.4;BAAN;Weesp;0,000;0,552;2017-12-09
127840351;161_2519R_20.4;BASIS;Weesp;0,000;0,552;2017-12-09
127840354;161_2517V_20.4;BVL;Weesp;0,000;0,024;2017-12-09
127840356;161_2517V_20.4;BAAN;Weesp;0,000;0,024;2017-12-09
127840358;161_2517V_20.4;BASIS;Weesp;0,000;0,024;2017-12-09
127840361;161_2515R_20.3;BVL;Weesp;0,000;0,106;2017-12-09
127840363;161_2515R_20.3;BAAN;Weesp;0,000;0,106;2017-12-09
127840365;161_2515R_20.3;BASIS;Weesp;0,000;0,106;2017-12-09
127840367;528_41AR_28.7;BASIS;Amersfoort;0,000;0,199;2017-12-09
127840368;528_41AR_28.7;BAAN;Amersfoort;0,000;0,199;2017-12-09
127840545;527_912L_500.8;BASIS;Haarlem;0,000;0,123;2017-12-09
127840547;527_912L_500.8;BAAN;Haarlem;0,000;0,123;2017-12-09
127840550;527_912L_500.8;BVL;Haarlem;0,000;0,123;2017-12-09
127840553;127_479AL_73.8;BVL;Goes;0,000;0,069;2017-12-09
127840557;127_479AL_73.8;BAAN;Goes;0,000;0,069;2017-12-09
127840558;127_479AL_73.8;BASIS;Goes;0,000;0,069;2017-12-09
127840560;127_395AL_48.6;BVL;Goes;0,000;0,068;2017-12-09
127840564;127_395AL_48.6;BAAN;Goes;0,000;0,068;2017-12-09
127840565;127_395AL_48.6;BASIS;Goes;0,000;0,068;2017-12-09
127840566;624_905L_32.5;BASIS;Rijn en Gouwe;0,000;0,029;2017-12-09
127840567;624_905L_32.5;BAAN;Rijn en Gouwe;0,000;0,029;2017-12-09
127840572;624_905L_32.5;BVL;Rijn en Gouwe;0,000;0,029;2017-12-09
127839818;161_2677V_31.9;BVL;Weesp;0,000;0,424;2017-12-09
127839819;161_2677V_31.9;BASIS;Gelderland;0,000;0,424;2017-12-09
127839820;161_2677V_31.9;BAAN;Gelderland;0,000;0,424;2017-12-09
127839825;924_1755L_35.5;BVL;Dordrecht;0,000;0,057;2017-12-09
