CG_TYPE;NUMMER;CG_NAAM;PGO_GEBIED;PGO_GEBIED_NR;REGIO;GEBIED;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
BAAN;26;Maastricht;Limburg;340;Zuid;Zuid-Oost;20221206;C;20
BAAN;25;Roermond;Limburg;340;Zuid;Zuid-Oost;20221206;C;20
BAAN;8;Haarlem;Kennemerland;240;Randstad Noord;Noord-West;20221206;C;20
BAAN;70;HSL;;;Randstad Zuid;Zuid-Holland Zuid;20221206;C;20
BAAN;5;Dordrecht;Dordrecht;140;Randstad Zuid;Zuid-Holland Zuid;20221206;C;20
BAAN;4;Europoort;Zee-Zevenaar;130;Randstad Zuid;Zee-Zevenaar;20221206;C;20
BAAN;99;Kijfhoek;Zee-Zevenaar;130;Randstad Zuid;Zee-Zevenaar;20221206;C;20
BAAN;15;Driebergen;Neerlands Midden;250;Randstad Noord;Midden;20221206;C;20
BAAN;13;Utrecht;Neerlands Midden;250;Randstad Noord;Midden;20221206;C;20
BAAN;14;Woerden;Neerlands Midden;250;Randstad Noord;Midden;20221206;C;20
BAAN;35;Drenthe;Drenthe;440;Noord-Oost;Noord;20221206;C;20
BAAN;37;Groningen;Wadden;420;Noord-Oost;Noord;20221206;C;20
BAAN;71;A15trace;Zee-Zevenaar;130;Randstad Zuid;Zee-Zevenaar;20221206;C;20
BAAN;30;Achterhoek;Gelre;400;Noord-Oost;Oost;20221206;C;20
BAAN;11;Weesp;Amstelsepoort;230;Randstad Noord;Midden;20221206;C;20
BAAN;34;Overijssel;Drenthe;440;Noord-Oost;Noord;20221206;C;20
BAAN;33;Gelderland;Veluwe;430;Noord-Oost;Oost;20221206;C;20
BAAN;20;Breda;Brabant;330;Zuid;Zuid-West;20221206;C;20
BAAN;23;Boxtel;Brabant;330;Zuid;Zuid-West;20221206;C;20
BAAN;22;Geldermalsen;Betuwe;320;Zuid;Zuid-West;20221206;C;20
BAAN;28;Maas en Waal;Gelre;400;Noord-Oost;Oost;20221206;C;20
BAAN;18;Goes;Zeeland;310;Zuid;Zuid-West;20221206;C;20
BAAN;19;Roosendaal;Zeeland;310;Zuid;Zuid-West;20221206;C;20
BAAN;16;Maarn;Eemland;200;Randstad Noord;Midden;20221206;C;20
BAAN;2;Den Haag;Den Haag;110;Randstad Zuid;Zuid-Holland Noord;20221206;C;20
BAAN;6;Heerhugowaard;Hollands Noorderkwartier;210;Randstad Noord;Noord-West;20221206;C;20
BAAN;12;Amersfoort;Eemland;200;Randstad Noord;Midden;20221206;C;20
BAAN;27;Venlo;De Peel;300;Zuid;Zuid-Oost;20221206;C;20
BAAN;10;Duivendrecht;Amstelsepoort;230;Randstad Noord;Midden;20221206;C;20
BAAN;1;Leiden;Rijn en Gouwe;100;Randstad Zuid;Zuid-Holland Noord;20221206;C;20
